	CROSSOVER	PR_CROSS	MutationMethode	PR_MUT	ELITIST	Average_path_length	Average_time
256	x_orderx	0.65	inversion	0.3	0.05	637.3768466636214	4.667303179999999
220	x_orderx	0.7	inversion	0.3	0.05	637.3768466636214	11.72129684
40	xalt_edges	0.65	inversion	0.3	0.05	637.3768466636214	5.71720111
148	xpmx	0.65	inversion	0.3	0.05	637.3768466636214	5.3976904
112	xpmx	0.7	inversion	0.3	0.05	637.3768466636214	11.65448862
292	x_orderx	0.15	inversion	0.3	0.05	637.3768466636214	4.63095971
76	xalt_edges	0.15	inversion	0.3	0.05	637.3768466636214	4.5594778400000004
184	xpmx	0.15	inversion	0.3	0.05	637.3768466636214	4.55597908
4	xalt_edges	0.7	inversion	0.3	0.05	637.3768466636214	11.329822570000001
257	x_orderx	0.65	inversion	0.3	0.1	643.0533892407054	4.396351640000001
